source_row,stable_id,player_name,affl_team,eligibilities,match_status,legacy_name,legacy_team,legacy_eligibilities,previous_vnext_included,previous_vnext_exclusion_reason
332,jagga-smith,Jagga Smith,Fremantle Dockers,"MID,G-FWD",matched,Jagga Smith,Carlton,MID,True,
126,jai-culley,Jai Culley,Carlton Blues,MID,matched,Jai Culley,West Coast,MID,True,
313,jai-murray,Jai Murray,Fremantle Dockers,MID,matched,Jai Murray,Gold Coast,MID,True,
755,jai-newcombe,Jai Newcombe,West Coast Eagles,MID,matched,Jai Newcombe,Hawthorn,MID,True,
722,jai-saxena,Jai Saxena,West Coast Eagles,G-FWD,matched,Jai Saxena,Collingwood,GEN_FWD,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
505,jai-serong,Jai Serong,North Melbourne Kangaroos,"G-DEF,K-DEF",matched,Jai Serong,Hawthorn,GEN_DEF,True,
296,jaime-uhr-henry,Jaime Uhr-Henry,Free agents,RUCK,matched,Jaime Uhr-Henry,Hawthorn,RUCK,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
719,jake-bowey,Jake Bowey,West Coast Eagles,G-DEF,matched,Jake Bowey,Melbourne,GEN_DEF,True,
554,jake-kolodjashnij,Jake Kolodjashnij,Port Adelaide Power,"G-DEF,K-DEF",matched,Jake Kolodjashnij,Geelong,K-DEF,True,
164,jake-lever,Jake Lever,Collingwood Magpies,G-DEF,matched,Jake Lever,Adelaide,K-DEF,True,
351,jake-lloyd,Jake Lloyd,Geelong Cats,"MID,G-FWD",matched,Jake Lloyd,Sydney,GEN_DEF,True,
281,jake-melksham,Jake Melksham,Free agents,"K-FWD,G-FWD",matched,Jake Melksham,Essendon,K-FWD,True,
535,jake-riccardi,Jake Riccardi,Port Adelaide Power,"RUCK,G-FWD,K-FWD",matched,Jake Riccardi,GWS,K-FWD,True,
454,jake-rogers,Jake Rogers,Melbourne Demons,G-FWD,matched,Jake Rogers,Gold Coast,GEN_FWD,True,
112,jake-soligo,Jake Soligo,Carlton Blues,"MID,G-FWD",matched,Jake Soligo,Adelaide,MID,True,
63,jake-stringer,Jake Stringer,Brisbane Lions,G-FWD,matched,Jake Stringer,Western Bulldogs,GEN_FWD,True,
724,jake-waterman,Jake Waterman,West Coast Eagles,"G-FWD,K-FWD",matched,Jake Waterman,West Coast,K-FWD,True,
217,jakob-ryan,Jakob Ryan,West Coast Eagles,G-DEF,matched,Jakob Ryan,Collingwood,GEN_DEF,False,no_recent_activity_signal+not_recent_unplayed_draftee
525,james-barrat,James Barrat,North Melbourne Kangaroos,"G-DEF,G-FWD,K-FWD,K-DEF",matched,James Barrat,St Kilda,K-DEF,True,
240,james-blanck,James Blanck,Free agents,"K-DEF,G-DEF",matched,James Blanck,Hawthorn,K-DEF,False,no_recent_activity_signal+not_recent_unplayed_draftee
326,james-borlase,James Borlase,Fremantle Dockers,"G-DEF,K-DEF",matched,James Borlase,Adelaide,K-DEF,True,
22,james-jordon,James Jordon,Adelaide Crows,"MID,G-FWD",matched,James Jordon,Melbourne,MID,True,
427,james-leake,James Leake,Hawthorn Hawks,"G-DEF,G-FWD",matched,James Leake,GWS,GEN_DEF,True,
596,james-o-donnell,James O'Donnell,Richmond Tigers,"G-DEF,K-DEF",matched,James O'Donnell,Western Bulldogs,K-DEF,True,
178,james-peatling,James Peatling,Collingwood Magpies,MID,matched,James Peatling,GWS,MID,True,
686,james-rowbottom,James Rowbottom,Sydney Swans,MID,matched,James Rowbottom,Sydney,MID,True,
375,james-sicily,James Sicily,Geelong Cats,G-DEF,matched,James Sicily,Hawthorn,GEN_DEF,True,
798,james-trezise,James Trezise,Western Bulldogs,"G-DEF,MID",matched,James Trezise,Richmond,GEN_DEF,True,
295,james-tunstill,James Tunstill,Free agents,MID,matched,James Tunstill,Brisbane,MID,True,
542,james-worpel,James Worpel,Port Adelaide Power,MID,matched,James Worpel,Hawthorn,MID,True,
247,jamie-cripps,Jamie Cripps,Free agents,G-FWD,matched,Jamie Cripps,St Kilda,GEN_FWD,True,
78,jamie-elliott,Jamie Elliott,Brisbane Lions,G-FWD,matched,Jamie Elliott,,GEN_FWD,True,
560,jaren-carr,Jaren Carr,Port Adelaide Power,G-FWD,matched,Jaren Carr,Fremantle,GEN_FWD,True,
157,jarman-impey,Jarman Impey,Collingwood Magpies,G-DEF,matched,Jarman Impey,Port Adelaide,GEN_DEF,True,
710,jarrod-berry,Jarrod Berry,Sydney Swans,MID,matched,Jarrod Berry,Brisbane,MID,True,
571,jarrod-witts,Jarrod Witts,Port Adelaide Power,RUCK,matched,Jarrod Witts,Collingwood,RUCK,True,
200,jase-burgoyne,Jase Burgoyne,Essendon Bombers,"G-DEF,MID",matched,Jase Burgoyne,Port Adelaide,GEN_DEF,True,
381,jason-horne-francis,Jason Horne-Francis,Geelong Cats,"MID,G-FWD",matched,Jason Horne-Francis,North Melbourne,MID,True,
15,jaspa-fletcher,Jaspa Fletcher,Adelaide Crows,G-DEF,matched,Jaspa Fletcher,Brisbane,GEN_DEF,True,
115,jasper-alger,Jasper Alger,Carlton Blues,G-FWD,matched,Jasper Alger,Richmond,GEN_FWD,True,
402,jaxon-artemis,Jaxon Artemis,Hawthorn Hawks,G-DEF,matched,Jaxon Artemis,Essendon,GEN_DEF,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
306,jaxon-prior,Jaxon Prior,Fremantle Dockers,G-DEF,matched,Jaxon Prior,Brisbane,GEN_DEF,True,
322,jay-polkinghorne,Jay Polkinghorne,Fremantle Dockers,"G-FWD,K-FWD",matched,Jay Polkinghorne,Geelong,GEN_FWD,True,
754,jayden-laverde,Jayden Laverde,West Coast Eagles,"G-DEF,K-DEF",matched,Jayden Laverde,Essendon,K-DEF,True,
283,jayden-nguyen,Jayden Nguyen,Free agents,G-DEF,matched,Jayden Nguyen,Essendon,GEN_DEF,True,
570,jayden-short,Jayden Short,Port Adelaide Power,G-DEF,matched,Jayden Short,Richmond,GEN_DEF,True,
446,jed-adams,Jed Adams,Melbourne Demons,"G-DEF,K-DEF",matched,Jed Adams,Melbourne,K-DEF,True,
239,jed-bews,Jed Bews,Free agents,G-DEF,matched,Jed Bews,Geelong,GEN_DEF,True,
444,jed-walter,Jed Walter,Melbourne Demons,"G-FWD,K-FWD",matched,Jed Walter,Gold Coast,K-FWD,True,
224,jedd-busslinger,Jedd Busslinger,Essendon Bombers,"G-DEF,K-DEF",matched,Jedd Busslinger,Western Bulldogs,K-DEF,True,
496,jeremy-cameron,Jeremy Cameron,North Melbourne Kangaroos,"G-FWD,K-FWD",matched,Jeremy Cameron,GWS,K-FWD,True,
541,jeremy-howe,Jeremy Howe,Port Adelaide Power,G-DEF,matched,Jeremy Howe,Melbourne,GEN_DEF,True,
162,jeremy-sharp,Jeremy Sharp,Collingwood Magpies,MID,matched,Jeremy Sharp,Gold Coast,MID,True,
171,jesse-dattoli,Jesse Dattoli,Collingwood Magpies,G-FWD,matched,Jesse Dattoli,Sydney,GEN_FWD,True,
543,jesse-hogan,Jesse Hogan,Port Adelaide Power,"G-FWD,K-FWD",matched,Jesse Hogan,Melbourne,K-FWD,True,
392,jesse-mellor,Jesse Mellor,Geelong Cats,G-FWD,matched,Jesse Mellor,Geelong,MID,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
179,jesse-motlop,Jesse Motlop,Adelaide Crows,G-FWD,matched,Jesse Motlop,Carlton,GEN_FWD,True,
302,jevan-phillipou,Jevan Phillipou,Fremantle Dockers,MID,matched,Jevan Phillipou,Sydney,GEN_FWD,True,
365,jhye-clark,Jhye Clark,Geelong Cats,"MID,G-FWD",matched,Jhye Clark,Geelong,MID,True,
792,jobe-shanahan,Jobe Shanahan,Western Bulldogs,"G-FWD,K-FWD",matched,Jobe Shanahan,West Coast,K-FWD,True,
26,joe-berry,Joe Berry,Adelaide Crows,G-FWD,matched,Joe Berry,Port Adelaide,GEN_FWD,True,
524,joe-pike,Joe Pike,North Melbourne Kangaroos,RUCK,matched,Joe Pike,Geelong,RUCK,True,
11,joe-richards,Joe Richards,Adelaide Crows,G-FWD,matched,Joe Richards,Collingwood,GEN_FWD,True,
177,joel-amartey,Joel Amartey,Collingwood Magpies,"G-FWD,K-FWD",matched,Joel Amartey,Sydney,K-FWD,True,
409,joel-cochran,Joel Cochran,Hawthorn Hawks,G-DEF,matched,Joel Cochran,Collingwood,K-DEF,True,
670,joel-fitzgerald,Joel Fitzgerald,Sydney Swans,MID,matched,Joel Fitzgerald,Melbourne,MID,True,
259,joel-hamling,Joel Hamling,Free agents,"K-DEF,G-DEF",matched,Joel Hamling,Geelong,K-DEF,True,
529,joel-jeffrey,Joel Jeffrey,North Melbourne Kangaroos,G-DEF,matched,Joel Jeffrey,Gold Coast,GEN_DEF,True,
674,john-noble,John Noble,Sydney Swans,G-DEF,matched,John Noble,Collingwood,GEN_DEF,True,
124,jonty-faull,Jonty Faull,Carlton Blues,"G-FWD,K-FWD",matched,Jonty Faull,Richmond,K-FWD,True,
243,jordan-boyd,Jordan Boyd,Free agents,G-DEF,matched,Jordan Boyd,Carlton,GEN_DEF,True,
745,jordan-clark,Jordan Clark,West Coast Eagles,G-DEF,matched,Jordan Clark,Geelong,GEN_DEF,True,
417,jordan-croft,Jordan Croft,Hawthorn Hawks,"G-FWD,K-FWD",matched,Jordan Croft,Western Bulldogs,K-FWD,True,
52,jordan-dawson,Jordan Dawson,West Coast Eagles,MID,matched,Jordan Dawson,Sydney,MID,True,
12,jordan-ridley,Jordan Ridley,Adelaide Crows,G-DEF,matched,Jordan Ridley,Essendon,GEN_DEF,True,
510,jordan-de-goey,Jordan de Goey,North Melbourne Kangaroos,"MID,G-FWD",matched,Jordan De Goey,Collingwood,GEN_FWD,True,
340,jordon-butts,Jordon Butts,Fremantle Dockers,"G-DEF,K-DEF",matched,Jordon Butts,Adelaide,K-DEF,True,
665,jordon-sweet,Jordon Sweet,St Kilda Saints,RUCK,matched,Jordon Sweet,Western Bulldogs,RUCK,True,
637,josaia-delana,Josaia Delana,St Kilda Saints,G-FWD,matched,Josaia Delana,GWS,GEN_FWD,True,
633,joseph-fonti,Joseph Fonti,St Kilda Saints,G-DEF,matched,Joseph Fonti,GWS,GEN_DEF,True,
185,josh-battle,Josh Battle,West Coast Eagles,"G-DEF,K-DEF",matched,Josh Battle,St Kilda,K-DEF,True,
90,josh-daicos,Josh Daicos,Brisbane Lions,G-DEF,matched,Josh Daicos,Collingwood,GEN_DEF,True,
401,josh-dolan,Josh Dolan,Hawthorn Hawks,G-FWD,matched,Josh Dolan,Western Bulldogs,GEN_FWD,True,
197,josh-draper,Josh Draper,Essendon Bombers,"G-DEF,K-DEF",matched,Josh Draper,Fremantle,K-DEF,True,
363,josh-dunkley,Josh Dunkley,Geelong Cats,MID,matched,Josh Dunkley,Western Bulldogs,MID,True,
770,josh-gibcus,Josh Gibcus,Western Bulldogs,"G-DEF,K-DEF",matched,Josh Gibcus,Richmond,K-DEF,True,
433,josh-goater,Josh Goater,Hawthorn Hawks,G-DEF,matched,Josh Goater,North Melbourne,GEN_DEF,True,
347,josh-lai,Josh Lai,Fremantle Dockers,"MID,G-DEF",matched,Josh Lai,Port Adelaide,GEN_DEF,True,
661,josh-lindsay,Josh Lindsay,St Kilda Saints,G-DEF,matched,Josh Lindsay,West Coast,GEN_DEF,True,
316,josh-rachele,Josh Rachele,Fremantle Dockers,"G-FWD,MID",matched,Josh Rachele,Adelaide,GEN_FWD,True,
187,josh-sinn,Josh Sinn,Essendon Bombers,G-DEF,matched,Josh Sinn,Port Adelaide,GEN_DEF,True,
131,josh-smillie,Josh Smillie,Carlton Blues,MID,matched,Josh Smillie,Richmond,MID,True,
742,josh-treacy,Josh Treacy,West Coast Eagles,"G-FWD,K-FWD",matched,Josh Treacy,Fremantle,K-FWD,True,
195,josh-ward,Josh Ward,Essendon Bombers,MID,matched,Josh Ward,Hawthorn,MID,True,
726,josh-worrell,Josh Worrell,West Coast Eagles,G-DEF,matched,Josh Worrell,Adelaide,GEN_DEF,True,
8,joshua-kelly,Joshua Kelly,Adelaide Crows,MID,matched,Joshua Kelly,GWS,MID,True,
578,joshua-weddle,Joshua Weddle,Richmond Tigers,"G-DEF,MID",matched,Joshua Weddle,Hawthorn,GEN_DEF,True,
592,judd-mcvee,Judd McVee,Richmond Tigers,G-DEF,matched,Judd McVee,Melbourne,GEN_DEF,True,
176,judson-clarke,Judson Clarke,Collingwood Magpies,G-FWD,matched,Judson Clarke,Richmond,GEN_FWD,True,
136,justin-mcinerney,Justin McInerney,Carlton Blues,"MID,G-FWD",matched,Justin McInerney,Sydney,MID,True,
253,jy-farrar,Jy Farrar,Free agents,"K-FWD,G-FWD",matched,Jy Farrar,Gold Coast,K-FWD,True,
139,jy-simpkin,Jy Simpkin,Collingwood Magpies,"MID,G-FWD",matched,Jy Simpkin,North Melbourne,MID,True,
180,jye-amiss,Jye Amiss,Collingwood Magpies,"G-FWD,K-FWD",matched,Jye Amiss,Fremantle,K-FWD,True,
46,jye-caldwell,Jye Caldwell,Brisbane Lions,MID,matched,Jye Caldwell,GWS,MID,True,
80,kade-chandler,Kade Chandler,Brisbane Lions,G-FWD,matched,Kade Chandler,Melbourne,GEN_FWD,True,
151,kai-lohmann,Kai Lohmann,Collingwood Magpies,G-FWD,matched,Kai Lohmann,Brisbane,GEN_FWD,True,
746,kalani-white,Kalani White,West Coast Eagles,"RUCK,G-FWD,K-FWD",matched,Kalani White,Melbourne,K-FWD,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
290,kaleb-smith,Kaleb Smith,Free agents,G-DEF,matched,Kaleb Smith,Richmond,GEN_DEF,True,
741,kane-farrell,Kane Farrell,Essendon Bombers,G-DEF,matched,Kane Farrell,Port Adelaide,GEN_DEF,True,
133,kane-mcauliffe,Kane McAuliffe,Carlton Blues,MID,matched,Kane McAuliffe,Richmond,MID,True,
642,karl-amon,Karl Amon,St Kilda Saints,G-DEF,matched,Karl Amon,Port Adelaide,GEN_DEF,True,
503,karl-worner,Karl Worner,North Melbourne Kangaroos,G-DEF,matched,Karl Worner,Fremantle,GEN_DEF,True,
312,kayle-gerreyn,Kayle Gerreyn,Fremantle Dockers,RUCK,matched,Kayle Gerreyn,Essendon,K-FWD,True,
450,keidean-coleman,Keidean Coleman,Melbourne Demons,G-DEF,matched,Keidean Coleman,Brisbane,GEN_DEF,True,
276,keighton-matofai-forbes,Keighton Matofai-Forbes,Free agents,"G-FWD,G-DEF",matched,Keighton Matofai-Forbes,Geelong,GEN_DEF,True,
14,kieren-briggs,Kieren Briggs,Adelaide Crows,RUCK,matched,Kieren Briggs,GWS,RUCK,True,
436,kobe-mcdonald,Kobe McDonald,Hawthorn Hawks,G-DEF,matched,Kobe McDonald,,GEN_DEF,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
103,koby-coulson,Koby Coulson,Carlton Blues,MID,matched,Koby Coulson,Gold Coast,MID,True,
229,koby-evans,Koby Evans,Free agents,MID,matched,Koby Evans,Brisbane,GEN_FWD,True,
142,koltyn-tholstrup,Koltyn Tholstrup,Collingwood Magpies,"G-FWD,G-DEF",matched,Koltyn Tholstrup,Melbourne,GEN_DEF,True,
117,kye-annand,Kye Annand,Carlton Blues,"K-DEF,G-DEF",matched,Kye Annand,Richmond,K-DEF,True,
429,kye-fincher,Kye Fincher,Hawthorn Hawks,"G-DEF,MID",matched,Kye Fincher,St Kilda,MID,True,
644,kyle-langford,Kyle Langford,St Kilda Saints,"G-FWD,K-FWD,MID",matched,Kyle Langford,Essendon,K-FWD,True,
595,kysaiah-pickett,Kysaiah Pickett,Richmond Tigers,"MID,G-FWD",matched,Kysaiah Pickett,Melbourne,GEN_FWD,True,
469,lachie-jaques,Lachie Jaques,Melbourne Demons,G-DEF,matched,Lachie Jaques,Western Bulldogs,GEN_DEF,True,
706,lachie-neale,Lachie Neale,Sydney Swans,MID,matched,Lachie Neale,Fremantle,MID,True,
293,lachie-sullivan,Lachie Sullivan,Free agents,G-FWD,matched,Lachie Sullivan,Collingwood,GEN_FWD,True,
521,lachie-whitfield,Lachie Whitfield,North Melbourne Kangaroos,G-DEF,matched,Lachie Whitfield,GWS,GEN_DEF,True,
472,lachlan-ash,Lachlan Ash,Melbourne Demons,G-DEF,matched,Lachlan Ash,GWS,GEN_DEF,True,
720,lachlan-blakiston,Lachlan Blakiston,West Coast Eagles,"G-DEF,K-DEF,RUCK",matched,Lachlan Blakiston,Essendon,K-DEF,True,
158,lachlan-bramble,Lachlan Bramble,Collingwood Magpies,"G-DEF,G-FWD",matched,Lachlan Bramble,Western Bulldogs,GEN_FWD,True,
396,lachlan-carmichael,Lachlan Carmichael,Hawthorn Hawks,"G-DEF,MID",matched,Lachlan Carmichael,Western Bulldogs,GEN_DEF,True,
737,lachlan-cowan,Lachlan Cowan,Essendon Bombers,G-DEF,matched,Lachlan Cowan,Carlton,GEN_DEF,True,
254,lachlan-fogarty,Lachlan Fogarty,Free agents,G-FWD,matched,Lachlan Fogarty,Geelong,GEN_FWD,True,
715,lachlan-gulbin,Lachlan Gulbin,Sydney Swans,G-FWD,matched,Lachlan Gulbin,Gold Coast,GEN_FWD,True,
7,lachlan-jones,Lachlan Jones,Adelaide Crows,G-DEF,matched,Lachlan Jones,Port Adelaide,GEN_DEF,True,
55,lachlan-mcandrew,Lachlan McAndrew,Brisbane Lions,RUCK,matched,Lachlan McAndrew,Sydney,RUCK,True,
280,lachlan-mcneil,Lachlan McNeil,Free agents,G-FWD,matched,Lachlan McNeil,Western Bulldogs,GEN_FWD,True,
5,lachlan-schultz,Lachlan Schultz,Adelaide Crows,G-FWD,matched,Lachlan Schultz,Fremantle,GEN_FWD,True,
289,lachlan-sholl,Lachlan Sholl,Free agents,MID,matched,Lachlan Sholl,Adelaide,MID,True,
181,lachlan-smith,Lachlan Smith,Collingwood Magpies,RUCK,matched,Lachlan Smith,Western Bulldogs,RUCK,True,
89,lachlan-weller,Lachlan Weller,Brisbane Lions,MID,matched,Lachlan Weller,Fremantle,MID,True,
330,lachy-dovaston,Lachy Dovaston,Fremantle Dockers,G-FWD,matched,Lachy Dovaston,North Melbourne,GEN_FWD,True,
298,laitham-vandermeer,Laitham Vandermeer,Free agents,G-FWD,matched,Laitham Vandermeer,Western Bulldogs,GEN_FWD,True,
412,lance-collard,Lance Collard,Hawthorn Hawks,G-FWD,matched,Lance Collard,St Kilda,GEN_FWD,True,
172,latrelle-pickett,Latrelle Pickett,Collingwood Magpies,G-FWD,matched,Latrelle Pickett,Melbourne,GEN_FWD,True,
389,lawson-humphries,Lawson Humphries,Geelong Cats,G-DEF,matched,Lawson Humphries,Geelong,GEN_DEF,True,
576,leek-aleer,Leek Aleer,Port Adelaide Power,"G-DEF,K-DEF",matched,Leek Aleer,GWS,K-DEF,True,
632,lennox-hoffman,Lennox Hoffman,St Kilda Saints,G-DEF,matched,Lennox Hoffman,Geelong,GEN_DEF,True,
327,leo-lombard,Leo Lombard,Fremantle Dockers,G-FWD,matched,Leo Lombard,Gold Coast,GEN_FWD,True,
269,leon-kickett,Leon Kickett,Free agents,G-FWD,matched,Leon Kickett,Fremantle,GEN_FWD,True,
209,levi-ashcroft,Levi Ashcroft,Essendon Bombers,MID,matched,Levi Ashcroft,Brisbane,MID,True,
764,lewis-hayes,Lewis Hayes,Western Bulldogs,G-DEF,matched,Lewis Hayes,Essendon,K-DEF,True,
71,lewis-melican,Lewis Melican,Brisbane Lions,"G-DEF,K-DEF",matched,Lewis Melican,Sydney,K-DEF,True,
130,lewis-young,Lewis Young,Carlton Blues,"G-DEF,K-FWD,K-DEF",matched,Lewis Young,Western Bulldogs,K-DEF,True,
127,liam-baker,Liam Baker,Carlton Blues,G-DEF,matched,Liam Baker,Richmond,GEN_DEF,True,
16,liam-duggan,Liam Duggan,Adelaide Crows,G-DEF,matched,Liam Duggan,West Coast,GEN_DEF,True,
107,liam-fawcett,Liam Fawcett,Carlton Blues,"G-FWD,K-FWD",matched,Liam Fawcett,Richmond,K-FWD,True,
202,liam-henry,Liam Henry,Essendon Bombers,G-FWD,matched,Liam Henry,Fremantle,GEN_FWD,True,
627,liam-hetherton,Liam Hetherton,St Kilda Saints,"G-FWD,K-FWD",matched,Liam Hetherton,Sydney,K-FWD,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
279,liam-mcmahon,Liam McMahon,Free agents,"K-FWD,G-FWD",matched,Liam McMahon,Collingwood,K-FWD,True,
743,liam-o-connell,Liam O'Connell,West Coast Eagles,G-DEF,matched,Liam O'Connell,St Kilda,GEN_DEF,True,
